rid,preferred_name,definition,synonyms,acronyms
RID32801,deep musculature of female perineum,,,
RID3281,pericardial constriction,,,
RID32812,musculature of male abdomen,,,
RID32813,musculature of female abdomen,,,
RID3282,cor pulmonale,enlargement of the heart due to lung disease,,
RID3283,cardiac tamponade,,,
RID32831,region of surface of peritoneal sac,,,
RID32839,inguinal triangle,,hesselbach triangle; trigonum inguinale,
RID3284,vascular disorder,,,
RID32840,right inguinal triangle,,,
RID32841,left inguinal triangle,,,
RID32842,femoral fossa,,,
RID32846,ovarian fossa,,fossa ovarica,
RID32849,layer of endometrium,,endometrium layer,
RID32854,lumen of segment of colon,,,
RID32859,renal lobe,,,
RID32862,wall of pancreatic acinus,,pancreatic acinar wall,
RID32863,set of anatomical spaces,,anatomical spaces,
RID32864,set of gastric pits,,gastric pits; gastric pits set,
RID32865,surface of gallbladder,,gallbladder surface,
RID32866,internal surface of gallbladder,,,
RID32867,external surface of gallbladder,,,
RID32868,circular muscle layer of zone of small intestine,,,
RID32875,epithelium of esophageal gland proper,,,
RID32876,epithelium of esophageal cardiac gland,,,
RID3288,fatty streak,,,
RID32884,wall of pancreatic ductule,,pancreatic ductule wall,
RID32885,circular muscle layer of zone of stomach,,,
RID3289,diffuse intimal thickening,,,
RID32891,circular muscle layer of pylorus,,,
RID32892,set of folds of uterine tube,,folds of uterine tube; plicae tubariae,
RID32894,subdivision of muscle layer of uterine tube,,,
RID32897,external longitudinal muscle layer of left uterine tube,,,
RID3290,atherosclerotic plaque,,atheroma; atheromatous plaque,
RID32900,internal circular muscle layer of left uterine tube,,,
RID32903,internal longitudinal muscle layer of left uterine tube,,,
RID32906,longitudinal muscle layer of zone of large intestine,,,
RID3291,fibrous plaque,,,
RID32910,subdivision of longitudinal muscle layer of rectum,,,
RID32911,rectococcygeus,,musculus rectococcygeus,
RID32912,recto-urethralis superior,,musculus rectourethralis superior,
RID32913,recto-urethralis inferior,,musculus rectourethralis inferior,
RID32914,anoperinealis,,musculus anoperinealis,
RID32915,rectoperinealis,,musculus rectoperinealis,
RID3292,medial calcinosis,,Monckeberg sclerosis; medial sclerosis,
RID32920,uterotubal orifice,,,
RID32921,right uterotubal orifice,,,
RID32922,left uterotubal orifice,,,
RID32923,simple squamous epithelium,"Unilaminar epithelium which consists of a single layer of squamous cells. Examples: pulmonary alveolar epithelium, endothelium.",,
RID32925,surface of large intestine,,large intestinal surface,
RID32926,external surface of large intestine,,,
RID32927,internal surface of large intestine,,,
RID32928,plane of esophagogastric junction,,esophagogastric junction plane,
RID32929,region of wall of large intestine,,,
RID32949,anatomical compartment space,"Anatomical space which contains two or more anatomical structures demarcated by bona fide boundaries and is bounded by the surface of one or more anatomical structures. Examples: orbital cavity, suprasternal space, thoracic cavity, fascial space, hepatic lacuna.",space of anatomical compartment,
RID3295,Binswanger disease,,subcortical arteriosclerotic encephalopathy,
RID32950,space of compartment of trunk,,,
RID32952,body cavity subdivision,,,
RID32955,subdivision of abdominal cavity,,,
RID32961,subdivision of thoracic cavity,,thoracic cavity subdivision,
RID32962,right half of thoracic cavity,Subdivision of thoracic cavity demarcated from the left half of thoracic cavity by the median plane.,,
RID32963,left half of thoracic cavity,Subdivision of thoracic cavity demarcated from the right half of thoracic cavity by the median plane.,,
RID32964,cavity of hemithorax,"Body cavity subdivision which is surrounded by the internal surface of the right or left side of the rib cage, the right or left lateral surface of the mediastinum and the superior surface of a hemidiaphragm. Examples: There are only two canonical instances, cavity of right hemithorax and cavity of left hemithorax.",hemithorax cavity,
RID32965,cavity of right hemithorax,Cavity of hemithorax demarcated from the mediastinum by the medial surface of the right mediastinal pleura.,right hemithorax cavity,
RID32966,cavity of left hemithorax,Cavity of hemithorax demarcated from the mediastinum by the medial surface of the left mediastinal pleura.,left hemithorax cavity,
RID32967,subdivision of mediastinal space,,mediastinal space subdivision,
RID32968,superior mediastinal space,,,
RID32969,subdivision of superior mediastinal space,,,
RID3297,post-myocardial infarction syndrome,,Dressler syndrome,
RID32970,space of anterior part of superior mediastinum,,,
RID32971,space of posterior part of superior mediastinum,,,
RID32972,inferior mediastinal space,,,
RID32973,anterior mediastinal space,,,
RID32974,middle mediastinal space,,,
RID32975,posterior mediastinal space,,,
RID32976,pulmopleural space,,,
RID32981,region of retroperitoneal space,,region of retroperitoneum,
RID32982,right anterior pararenal space,,,
RID32983,left anterior pararenal space,,,
RID32984,right posterior pararenal space,,,
RID32985,left posterior pararenal space,,,
RID32986,right perirenal space,,right periphrenic space,
RID32987,left perirenal space,,left periphrenic space,
RID32988,right extraperitoneal space,,,
RID32989,left extraperitoneal space,,,
RID32991,anterior part of pelvirectal space,,,
RID32992,posterior part of pelvirectal space,,,
RID32994,right retropubic space,,,
RID32995,left retropubic space,,,
RID32997,right deep perineal space,,,
RID32998,left deep perineal space,,,
RID32999,retro-inguinal space,,spatium retroinguinale,
RID33,probably,[LIRADS] Likely to be true.,probable,
RID3300,precapillary pulmonary hypertension,,,
RID33001,right superficial perineal space,,,
RID33002,left superficial perineal space,,,
RID33005,space of cystohepatic triangle,,cystohepatic triangle space,
RID33006,lesser omentum compartment space,,,
RID33007,greater omentum compartment space,,,
RID33008,intercostal space,Space of compartment of trunk bounded by the upper and lower surfaces of two consecutive ribs.,spatium intercostale,
RID33009,zone of liver,,hepatic zone,
RID3301,postcapillary pulmonary hypertension,,,
RID33010,left lateral division of liver,,divisio lateralis sinistra hepatis,
RID33011,left medial division of liver,,divisio medialis sinistra hepatis,
RID33012,right medial division of liver,,divisio medialis dextra hepatis,
RID33013,right lateral division of liver,,divisio lateralis dextra hepatis,
RID33014,hemiliver,,,
RID33015,right hemiliver,,pars hepatis dextra; right part of liver,
RID33016,left hemiliver,,left part of liver; pars hepatis sinistra,
RID33017,junction of body part subdivisions,,body part subdivisions junction,
RID33018,thoraco-abdominal junction,,,
RID33019,abdominopelvic junction,,,
RID3302,peripheral vascular disease,General or unspecified diseases of the blood vessels outside the heart. It is for diseases of the peripheral as opposed to the cardiac circulation. [MeSH],,
RID33021,set of gastric areas,,gastric areas; gastric areas set,
RID33029,zone of internal fascia,,internal fascia zone,
RID3303,vascular entrapment syndrome,,,
RID33030,zone of abdominal fascia,,abdominal fascia zone,
RID33032,zone of endoabdominal fascia,,endoabdominal fascia zone,
RID33033,loose endoabdominal fascia,,,
RID33035,perirenal fat,,periphrenic fascia,
RID33038,anterior perirenal fat,,,
RID33039,posterior perirenal fat,,,
RID3304,thoracic outlet syndrome,"A neurovascular syndrome associated with compression of the brachial plexus; subclavian artery; and subclavian vein at the superior thoracic outlet. This may result from a variety of anomalies such as a cervical rib (cervical rib syndrome), anomalous fascial bands, and abnormalities of the origin or insertion of the anterior or medial scalene muscles. Clinical features may include pain in the shoulder and neck region which radiates into the arm, paresis or paralysis of brachial plexus innervated muscles, paresthesia, loss of sensation, reduction of arterial pulses in the affected extremity, ischemia, and edema. (Adams et al., Principles of Neurology, 6th ed, pp214-5). [MeSH]",,
RID33040,pararenal fat,,,
RID33043,anterior pararenal fat,,,
RID33044,posterior pararenal fat,,,
RID33047,zone of loose endoabdominal fascia,,loose endominal fascia zone,
RID33048,preperitoneal fat of abdominal quadrant,,,
RID33049,organ component of perirenal fat,,,
RID3305,arcuate ligament syndrome,,,
RID33054,organ component of pararenal fat,,,
RID33060,zone of dense endoabdominal fascia,,dense endoabdominal fascia zone,
RID33064,anterior renal fascia,,,
RID33065,posterior renal fascia,,,
RID33068,iliopsoas fascia,,fascia iliopsoas,
RID3307,May-Thurner syndrome,compression of the left common iliac vein between the right common iliac artery and a lumbar vertebral body,,
RID33071,iliac fascia,,abernethy fascia; fascia iliaca; pars fasciae iliopsoaticae; pars iliaca,
RID33074,iliac fascia proper,,,
RID33079,epimysium of psoas major,,psoas major epimysium,
RID3308,adductor canal syndrome,,,
RID33080,epimysium of right psoas major,,right psoas major epimysium,
RID33081,epimysium of left psoas major,,left psoas major epimysium,
RID33082,perimysium of psoas major,,psoas major perimysium,
RID33083,perimysium of right psoas major,,right psoas major perimysium,
RID33084,perimysium of left psoas major,,left psoas major perimysium,
RID33087,umbilical prevesical fascia,,,
RID33088,right umbilical prevesical fascia,,,
RID33089,left umbilical prevesical fascia,,,
RID33090,zone of suspensory ligament of duodenum,,,
RID33091,phrenicocoeliac part of suspensory muscle of duodenum,,pars phrenicocoeliaca musculus suspensorii duodeni,
RID33092,coeliacoduodenal part of suspensory muscle of duodenum,,pars coeliacoduodenalis musculus suspensorii duodeni,
RID33093,organ component of renal fascia,,,
RID33094,right anterior renal fascia,,,
RID33095,left anterior renal fascia,,,
RID33096,right posterior renal fascia,,,
RID33097,left posterior renal fascia,,,
RID33098,phrenoesophageal ligament,,,
RID33099,septum of endoabdominal fascia,,endoabdominal fascia septum,
RID33100,abdominal part of umbilical prevesical fascia,,,
RID33101,zone of transversalis fascia,,transversalis fascia zone,
RID33102,transversalis fascia of abdominal quadrant,,,
RID33103,transversalis fascia of upper abdominal quadrant,,,
RID33106,transversalis fascia of lower abdominal quadrant,,,
RID33110,right iliopubic tract,,,
RID33111,left iliopubic tract,,,
RID33112,interfoveolar ligament,,hesselbach ligament; ligamentum interfoveolare,
RID33113,right interfoveolar ligament,,,
RID33114,left interfoveolar ligament,,,
RID33115,extraserosal fascia,,fascia extraserosalis,
RID33116,umbilical fascia,,fascia umbilicalis,
RID33117,deep investing fascia of abdomen,,fascia investiens profunda abdominis,
RID3312,amyloid angiopathy,,,
RID33121,zone of pelvic fascia,,pelvic fascia zone,
RID33124,zone of parietal fascia of pelvis,,,
RID3313,renal hypertension,"Persistent high blood pressure due to kidney diseases, such as those involving the renal parenchyma, the renal vasculature, or tumors that secrete renin. [MeSH]",,
RID33134,investing abdominal fascia,,fascia investiens abdominis,
RID33135,presacral fascia,,fascia presacralis,
RID33136,rectosacral fascia,,fascia rectosacralis,
RID33137,precaecocolic fascia,,fascia precaecocolica; jackson membrane; jackson veil,
RID33138,parametrium of cervix,,cervix parametrium,
RID33139,parametrium of body of uterus,,,
RID3314,renal parenchymal hypertension,,,
RID33145,zone of prostatic fascia,,prostatic fascia zone,
RID3315,renovascular hypertension,Hypertension due to renal artery obstruction or compression. [MeSH],,
RID33157,lateral ligament of prostate,,ligamentum laterale vesicae,
RID33158,right lateral ligament of prostate,,,
RID33159,left lateral ligament of prostate,,,
RID3316,veno-occlusive disease,,,
RID33169,pelvic part of umbilical prevesical fascia,,,
RID33170,lateral ligament of rectum,,ligamentum recti laterale; rectal stalk,
RID33171,visceral abdominal fascia,,fascia abdominis visceralis,
RID33172,fascia of individual organ,,fascia propria organi; individual organ fascia,
RID33173,longitudinal muscle layer of zone of small intestine,,,
RID33177,region of epithelium of large intestine,,,
RID33184,subdivision of greater omentum,,greater omentum subdivision,
RID33189,presplenic fold,,plica presplenica,
RID3319,arterial dissection,Splitting or dissection of an arterial wall by blood entering through an intimal tear or by interstitial hemorrhage. It is most common in the aorta. [MeSH],,
RID33190,subdivision of lesser omentum,,lesser omentum subdivision,
RID33197,pulmonary ligament,,inferior pulmonary ligament; ligamentum pulmonale,
RID33198,right pulmonary ligament,,right inferior pulmonary ligament,
RID33199,left pulmonary ligament,,left inferior pulmonary ligament,
RID33200,hepatophrenic ligament,,ligamentum hepatophrenicum,
RID33201,hepato-oesophageal ligament,,ligamentum hepatoesophageale,
RID33202,pancreaticosplenic ligament,,ligamentum pancreaticosplenicum,
RID33203,pancreaticocolic ligament,,ligamentum pancreaticocolicum,
RID33204,splenocolic ligament,,ligamentum splenocolicum,
RID33205,right triangular ligament of liver,,ligamentum triangulare dextrum hepatis,
RID33206,left triangular ligament of liver,,ligamentum triangulare sinistrum hepatis,
RID33209,vasculature of adrenal gland,,,
RID33210,vasculature of right adrenal gland,,,
RID33211,vasculature of left adrenal gland,,,
RID33212,muscle layer of segment of esophagus,,,
RID33218,crypt of Lieberkuhn,,lieberkuhn crypt,
RID3322,saccular aneurysm,,,
RID33224,gland of small intestine,,,
RID33226,glandular columnar epithelium,"Simple columnar epithelium that constitutes the secretory part of a gland. Examples: epithelium of stomach, luminal epithelium of lactiferous duct.",,
RID33228,epithelium of gastric cardiac gland,,gastric cardiac gland epithelium,
RID33229,epithelium of principal gastric gland,,principal gastric gland epithelium,
RID3323,berry aneurysm,anatomically and angiographically has well-defined neck,berry-type aneurysm,
RID33230,epithelium of pyloric gland,,pyloric gland epithelium,
RID33232,portion of excreted substance,"Body substance derived from ingested substances that have been modified by one or more organs. Example: feces, flatus, urine.",,
RID33233,flatus,Excretion in gaseous state processed in the stomach and small intestine.,flatulence,
RID33235,subsegment of liver,,hepatic subsegment,
RID33236,portal triad subsegment,Subsegment of liver demarcated by intrahepatic distribution of hepatic artery and biliary ducts.,,
RID33237,lateral superior area of lateral segment of left lobe of liver,,,
RID33238,lateral inferior area of lateral segment of left lobe of liver,,,
RID33239,anterior superior area of anterior segment of right lobe of liver,,,
RID33240,anterior inferior area of anterior segment of right lobe of liver,,,
RID33241,posterior superior area of posterior segment of right lobe of liver,,,
RID33242,posterior inferior area of posterior segment of right lobe of liver,,,
RID33243,medial superior area of medial segment of left lobe of liver,,,
RID33244,medial inferior area of medial segment of left lobe of liver,,,
RID33245,subsegment of caudate lobe of liver,,,
RID33250,arterial tree organ,"Vascular tree, the organ parts of which are arteries. Examples: There are only two canonical instances, systemic arterial tree (organ) and pulmonary arterial tree (organ).",,
RID33254,vasculature of lower gastro-intestinal tract,,,
RID33255,region of ileocecal valve,,ileocecal valvular region,
RID33258,frenulum of ileocecal valve,,ileocecal valvular frenulum,
RID3326,ruptured aneurysm,The tearing or herniation of the weakened wall of the aneurysmal sac. [MeSH],,
RID33262,cavity of subdivision of serous sac,"Organ cavity subdivision that is a part of a serous cavity, demarcated from other serous cavity subdivisions by one or more anatomical structures or anatomical surfaces; together with other serous cavity subdivisions, it constitutes the serous cavity. Examples: costodiaphragmatic recess, oblique sinus of pericardial cavity, lesser sac of peritoneum, suprapatellar bursa.",,
RID33263,subdivision of peritoneal cavity,,peritoneal cavity subdivision,
RID33265,supracolic space,,,
RID33266,infracolic space,,,
RID33267,subdivision of infracolic space,,infracolic space subdivision,
RID33268,right infracolic space,,,
RID33269,left infracolic space,,,
RID3327,lymphangiectasia,A transient dilatation of the lymphatic vessels. [MeSH],,
RID33270,right infracolic space proper,,,
RID33271,left infracolic space proper,,,
RID33273,subdivision of cavity of greater sac,,,
RID33274,cavity proper of greater sac,,,
RID33275,cavity of abdominal part of greater sac,,,
RID33276,cavity of pelvic part of greater sac,,,
RID33277,subdivision of supracolic space,,supracolic space subdivision,
RID33278,subdivision of subphrenic space,,subphrenic space subdivision,
RID33279,right subphrenic space,,,
RID3328,mycotic aneurysm,,,
RID33280,left subphrenic space,,,
RID33282,left subhepatic space,,,
RID33283,left anterior subhepatic space,,,
RID33284,left posterior subhepatic space,,,
RID33285,perisplenic space,,perisplenic space of Onard,
RID33286,anterior perisplenic space,,,
RID33287,posterior perisplenic space,,,
RID33288,lateral perisplenic space,,,
RID33289,left anterior subphrenic space,,,
RID3329,fusiform aneurysm,,,
RID33290,duodenal recess,,,
RID33291,superior duodenal fossa,,recessus duodenalis superior; superior duodenal recess,
RID33292,inferior duodenal fossa,,inferior duodenal recess; recessus duodenalis inferior,
RID33293,paraduodenal recess,,recessus paraduodenalis,
RID33294,retroduodenal recess,,recessus retroduodenalis,
RID33295,duodenojejunal recess,,,
RID33296,mesentericoparietal recess,,,
RID33297,ileocecal recess,,,
RID33298,superior ileocecal recess,,recessus ileocaecalis superior,
RID33299,inferior ileocecal recess,,recessus ileocaecalis inferior,
RID3330,intimal flap,,,
RID33300,retrocecal recess,,recessus retrocaecalis; retrocaecal recess,
RID33302,peritoneal fossa (space),,,
RID33303,inguinal fossa (space),,,
RID33304,lateral inguinal fossa (space),,,
RID33305,left lateral inguinal fossa (space),,,
RID33306,right lateral inguinal fossa (space),,,
RID33307,medial inguinal fossa (space),,,
RID33308,left medial inguinal fossa (space),,,
RID33309,right medial inguinal fossa (space),,,
RID33310,paravesical fossa,,fossa paravesicalis,
RID33311,left paravesical fossa,,,
RID33312,right paravesical fossa,,,
RID33313,supravesical fossa (space),,,
RID33314,left supravesical fossa (space),,,
RID33315,right supravesical fossa (space),,,
RID33316,ovarian fossa (space),,,
RID33317,right ovarian fossa (space),,,
RID33318,left ovarian fossa (space),,,
RID33319,pararectal fossa,,fossa pararectalis,
RID3332,vascular malformation,,,
RID33320,right pararectal fossa,,,
RID33321,left pararectal fossa,,,
RID33322,medial paracolic gutter,,,
RID33323,right medial paracolic gutter,,,
RID33324,left medial paracolic gutter,,,
RID33325,lateral paracolic gutter,,,
RID33326,right lateral paracolic gutter,,,
RID33327,left lateral paracolic gutter,,,
RID33328,subdivision of cavity of lesser sac,,,
RID33329,cavity proper of lesser sac,,,
RID3333,high-flow vascular malformation,,,
RID33334,peritoneal recess,,,
RID33335,pelvic part of peritoneal cavity,,,
RID33336,subdivision of pelvic part of peritoneal cavity,,,
RID33337,pelvic part proper of peritoneal cavity,,,
RID33338,abdominal part of peritoneal cavity,,,
RID33339,upper abdominal part of peritoneal cavity,,,
RID33340,lower abdominal part of peritoneal cavity,,,
RID33345,set of taeniae coli,,taeniae coli; taeniae coli set,
RID33346,adventitia of region of ureter,,,
RID33356,adventitia of renal pelvis,,renal pelvic adventitia; tunica adventitia pelvis renalis,
RID3336,low-flow vascular malformation,,,
RID33360,adventitia of subdivision of major calyx,,,
RID33371,adventitia of subdivision of minor calyx,,,
RID33373,adventitia of right superior minor calyx,,right superior minor calyx adventitia,
RID33374,adventitia of left superior minor calyx,,left superior minor calyx adventitia,
RID33375,adventitia of subdivision of superior minor calyx,,,
RID33382,adventitia of superior minor calyx of right ureter,,,
RID33383,adventitia of superior minor calyx of left ureter,,,
RID33385,adventitia of right intermediate minor calyx,,right intermediate minor calyx adventitia,
RID33386,adventitia of left intermediate minor calyx,,left intermediate minor calyx adventitia,
RID33387,adventitia of subdivision of intermediate minor calyx,,,
RID33395,adventitia of right inferior minor calyx,,right inferior minor calyx adventitia,
RID33396,adventitia of left inferior minor calyx,,left inferior minor calyx adventitia,
RID33397,adventitia of subdivision of inferior minor calyx,,,
RID33405,region of surface of kidney,,,
RID33406,region of external surface of kidney,,,
RID33407,anterior surface of kidney,,facies anterior renis,
RID33408,anterior surface of right kidney,,,
RID33409,anterior surface of left kidney,,,
RID3341,lymphatic malformation,Congenital or acquired structural abnormalities of the lymphatic system (lymphoid tissue) including the lymph vessels. [MeSH],,
RID33410,posterior surface of kidney,,facies posterior renis,
RID33411,posterior surface of right kidney,,,
RID33412,posterior surface of left kidney,,,
RID33413,non-peritoneal surface of kidney,,,
RID33414,non-peritoneal surface of right kidney,,,
RID33415,non-peritoneal surface of left kidney,,,
RID33416,peritoneal surface of kidney,,,
RID33417,peritoneal surface of right kidney,,,
RID33418,peritoneal surface of left kidney,,,
RID33419,region of internal surface of kidney,,,
RID33421,surface of major calyx,,calyx surface,
RID33422,surface of minor calyx,,,
RID33423,zone of kidney,Organ zone in the kidney.,renal zone; polar zone of kidney,
RID33424,superior pole of right kidney,,,
RID33425,superior pole of left kidney,,,
RID33426,inferior pole of right kidney,,,
RID33427,inferior pole of left kidney,,,
RID33428,middle part of right kidney,,interpolar region of right kidney,
RID33429,middle part of left kidney,,interpolar region of left kidney,
RID33430,mucosa of zone of small intestine,,,
RID33432,mucosa of zone of duodenum,,,
RID33437,mucosa of anterior wall of duodenum,,,
RID33438,mucosa of posterior wall of duodenum,,,
RID33439,mucosa of duodenal ampulla,,duodenal ampullary mucosa,
RID3344,lymphatic-venous malformation,,LVM,
RID33441,mucosa of region of jejunum,,,
RID33446,mucosa of region of ileum,,,
RID33454,anatomical valve,,valva,
RID33455,circular fold of small intestine,,kerckring valve,
RID33457,accessory spleen,,splen accessorius; spleniculus,
RID33458,,,,
RID33459,nonskeletal ligament,"Ligament organ that primarily consists of dense connective tissue aggregated into fasciculi which may be admixed with smooth muscle. Examples: ligament of liver, ovarian ligament.",,
RID3346,capillary malformation,"A vascular malformation of developmental origin characterized pathologically by ectasia of superficial dermal capillaries, and clinically by persistent macular erythema. In the past, port wine stains have frequently been termed capillary hemangiomas, which they are not; unfortunately this confusing practice persists: hemangioma, capillary is neoplastic, a port-wine stain is non-neoplastic. Port-wine stains vary in color from fairly pale pink to deep red or purple and in size from a few millimeters to many centimeters in diameter. The face is the most frequently affected site and they are most often unilateral. (From Rook et al., Textbook of Dermatology, 5th ed, p483) [MeSH]",port-wine stain,
RID33460,ligament of liver,,,
RID33461,set of intestinal villi of small intestine,,intestinal villi of small intestine; villi intestinales intestini tenuis,
RID33462,spiral valve of cystic duct,,heister valve; plica spiralis,
RID33463,set of peritoneal attachments of liver,,ligamenta hepatis; peritoneal attachments of liver,
RID33464,region of mesentery,,,
RID33467,mesovarium,,,
RID33470,mesometrium,,,
RID33474,organ component of kidney,,,
RID33479,segment of peritoneal sac,Organ segment which is regional part of coracclavicular ligament. Examples:,peritoneal sac segment,
RID3348,telangiectasia,"Permanent dilation of preexisting blood vessels (capillaries, arterioles, venules) creating small focal red lesions, most commonly in the skin or mucous membranes. [MeSH]",,
RID33481,segment of greater sac,,greater sac segment,
RID33486,peritoneal fold,,,
RID33487,umbilical fold,,,
RID3349,vascular disorder of spinal cord,,,
RID33498,peritoneal fold of cecum,,,
RID3350,Type I spinal-dural AV fistula,,Foix-Alajoinine; spinal-dural AV fistula; subacute necrotizing myelopathy,
RID33501,vascular fold of cecum,,plica caecalis vascularis; vascular fold of caecum,
RID33509,right uterovesical fold,,,
RID33510,left uterovesical fold,,,
RID33511,rectouterine fold,,plica rectouterina,
RID33514,sacrogenital fold,,,
RID33517,variant peritoneal fold,,,
RID33518,hepatocolic fold,,ligamentum hepatocolicum,
RID33519,cystoduodenal fold,,,
RID33520,hepato-omental fold,,,
RID33521,colic flexure,,,
RID33522,surface of uterus,,uterine surface,
RID33523,external surface of uterus,,,
RID33524,internal surface of uterus,,,
RID33525,region of surface of ovary,,,
RID33526,medial surface of ovary,,facies medialis ovarii,
RID33527,medial surface of right ovary,,,
RID33528,medial surface of left ovary,,,
RID33529,lateral surface of ovary,,facies lateralis ovarii,
RID33530,lateral surface of right ovary,,,
RID33531,lateral surface of left ovary,,,
RID33533,zone of spleen,,splenic zone,
RID33538,surface of ureter,,ureteral surface,
RID33539,external surface of ureter,,,
RID3354,Type II vascular malformation of spinal cord,,glomus type vascular malformation of spinal cord,
RID33540,external surface of right ureter,,,
RID33541,external surface of left ureter,,,
RID33542,internal surface of ureter,,,
RID33543,internal surface of right ureter,,,
RID33544,internal surface of left ureter,,,
RID33545,longitudinal muscle layer of zone of stomach,,,
RID33551,longitudinal muscle layer of pylorus,,,
RID33552,portion of gas in anatomical space,,,
RID33554,middle muscle layer of organ,,,
RID33556,surface of segment of esophagus,,,
RID33557,surface of cervical part of esophagus,,,
RID33558,external surface of cervical part of esophagus,,,
RID33559,internal surface of cervical part of esophagus,,,
RID3356,Type III vascular malformation of spinal cord,,juvenile type vascular malformation of spinal cord,
RID33560,surface of thoracic part of esophagus,,,
RID33561,external surface of thoracic part of esophagus,,,
RID33562,internal surface of thoracic part of esophagus,,,
RID33563,surface of abdominal part of esophagus,,,
RID33564,external surface of abdominal part of esophagus,,,
RID33565,internal surface of abdominal part of esophagus,,,
RID33568,interstitial gland of right ovary,,,
RID33569,interstitial gland of left ovary,,,
RID33570,connective tissue of region of visceral peritoneum,,,
RID3358,Type IV fistula,,perimedullary fistula,
RID3360,CADASIL,"A familial, cerebral arteriopathy mapped to chromosome 19q12, and characterized by the presence of granular deposits in small cerebral arteries producing ischemic stroke; pseudobulbar palsy; and multiple subcortical infarcts (cerebral infarction). cadasil is an acronym for Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy. cadasil differs from binswanger disease by the presence of migraine with aura and usually by the lack of history of arterial hypertension. (From Bradley et al, Neurology in Clinical Practice, 2000, p1146) [MeSH]",cerebral autosomal dominant arteriopathy with infarcts and leukoencephalopathy,
RID33600,set of accessory suprarenal glands,,accessory suprarenal glands set; glandulae suprarenales accessoriae,
RID33602,surface of abdomen,,abdominal surface,
RID33603,surface of region of large intestine,,,
RID33604,surface of cecum,,cecum surface,
RID33605,external surface of cecum,,,
RID33606,internal surface of cecum,,,
RID33607,surface of ascending colon,,ascending colon surface,
RID33608,external surface of ascending colon,,,
RID33609,internal surface of ascending colon,,,
RID33610,surface of transverse colon,,transverse colon surface,
RID33611,external surface of transverse colon,,,
RID33612,internal surface of transverse colon,,,
RID33613,surface of descending colon,,descending colon surface,
RID33614,external surface of descending colon,,,
RID33615,internal surface of descending colon,,,
RID33616,internal surface of region of wall of large intestine,,,
RID33617,internal surface of anterior wall of ascending colon,,,
RID33618,internal surface of posterior wall of ascending colon,,,
RID33619,internal surface of anterior wall of descending colon,,,
RID3362,retrolental fibroplasia,abnormal blood vessel development in the retina of the eye in a premature infant,ROP; retinopathy of prematurity,
RID33620,internal surface of posterior wall of descending colon,,,
RID33621,internal surface of anterior wall of sigmoid colon,,,
RID33622,internal surface of posterior wall of sigmoid colon,,,
RID33623,internal surface of anterior wall of rectum,,,
RID33624,internal surface of posterior wall of rectum,,,
RID33625,internal surface of anterior wall of transverse colon,,,
RID33626,internal surface of posterior wall of transverse colon,,,
RID33627,surface of rectum,,rectal surface,
RID33628,external surface of rectum,,,
RID33629,internal surface of rectum,,,
RID33630,surface of posterior wall of appendix,,,
RID33631,surface of anterior wall of appendix,,,
RID33632,surface of sigmoid colon,,sigmoid colon surface,
RID33633,external surface of sigmoid colon,,,
RID33634,internal surface of sigmoid colon,,,
RID33635,region of surface of uterus,,,
RID33636,anterior surface of uterus,,facies anterior uteri; facies vesicalis uteri,
RID33637,posterior surface of uterus,,facies intestinalis uteri; facies posterior uteri,
RID33638,peritoneal surface of uterus,,,
RID33639,non-peritoneal surface of uterus,,,
RID33643,peritoneal serosa,,serous coat of peritoneum; tunica serosa peritonei,
RID33647,transverse fold of rectum,,,
RID33648,superior transverse fold of rectum,,,
RID33649,middle transverse fold of rectum,,,
RID3365,Terson syndrome,"the presence of vitreous hemorrhage with any form of intracranial or subarachnoid hemorrhage, commonly secondary to aneurysmal rupture",,
RID33650,inferior transverse fold of rectum,,,
RID33653,anatomical line of kidney,,,
RID33654,margin of kidney,,renal margin,
RID33655,margin of right kidney,,right renal margin,
RID33656,margin of left kidney,,left renal margin,
RID33657,medial margin of kidney,,margo medialis renis,
RID33658,medial margin of right kidney,,,
RID33659,medial margin of left kidney,,,
RID33660,lateral margin of kidney,,margo lateralis renis,
RID33661,lateral margin of right kidney,,,
RID33662,lateral margin of left kidney,,,
RID33667,circular fold of jejunum,,,
RID33668,mucosa of region of uterine tube,,,
RID33687,set of abdominal regions,,abdominal regions set,
RID33688,subserosa of uterus,,subserous layer of uterus; tela subserosa uteri; uterine subserosa,
RID33689,perivascular fibrous sheath of liver,"Organ component of the liver, which consists of irregular dense connective tissue sheath which surrounds each portal triad.",capsula fibrosa perivascularis hepatis,
RID33696,region of wall of urinary bladder,,,
RID3370,angiodysplasia,"Degenerative, acquired lesions consisting of distorted, dilated, thin-walled vessels lined by vascular endothelium. This pathological state is seen especially in the gastrointestinal tract and is frequently a cause of upper and lower gastrointestinal hemorrhage in the elderly. [MeSH]",,
RID33707,region of detrusor,,detrusor region,
RID3371,arterioportal or arteriovenous shunt,,,
RID33710,subdivision of cervical part of detrusor,,,
RID33711,external longitudinal layer of cervical part of detrusor,,external longitudinal layer of detrusor; stratum externum longitudinale (Musculus detrusor vesicae); stratum longitudinale externum musculus detrusoris vesicae,
