loinc_number,long_common_name,short_name,modality,anatomic_location,synonyms_count,top_synonyms
37464-5,MR Wrist - left WO contrast,MR Wrist-L WO contr,MR,Upper extremity; True; Left,29,Arm; c; Carpal bone; Carpal bones; Carpal bones and joint
37465-2,CT Wrist - right WO contrast,CT Wrist-R WO contr,CT,Upper extremity; True; Right,31,Arm; c; Carpal bone; Carpal bones; Carpal bones and joint
37466-0,MR Wrist - right WO contrast,MR Wrist-R WO contr,MR,Upper extremity; True; Right,29,Arm; c; Carpal bone; Carpal bones; Carpal bones and joint
37467-8,XR Acromioclavicular Joint 10 degree cephalic angle,XR AC joint 10 deg ceph angle,XR,Upper extremity; Unspecified; True,26,10 deg ceph angle; 1V; AC joint; ACJ; Acromio-clavicular
37468-6,XR Shoulder - bilateral 30 degree caudal angle,XR Shoulder-Bl 30 deg cau angle,XR,Upper extremity; True; Bilateral,31,1V; 30 deg cau angle; Arm; Bil; Bilat
37469-4,XR Clavicle - bilateral 45 degree cephalic angle,XR Clavicle-Bl 45 deg ceph angle,XR,Chest; True; Bilateral,24,1V; 45 deg ceph angle; Bil; Bilat; Both
37470-2,XR Clavicle - left 45 degree cephalic angle,XR Clavicle-L 45 deg ceph angle,XR,Chest; True; Left,22,1V; 45 deg ceph angle; Clavicle-L; CXR; Document
37471-0,XR Hand - bilateral Bora,XR Hand-Bl Bora,XR,Upper extremity; True; Bilateral,31,1V; Arm; Bil; Bilat; Both
37472-8,XR Hand - left Bora,XR Hand-L Bora,XR,Upper extremity; True; Left,30,1V; Arm; Document; EXT; Extr-L
37473-6,XR Shoulder - left Grashey,XR Should-L Grashey,XR,Upper extremity; True; Left,34,1V; Arm; Document; EXT; Extr-L
37474-4,XR Ankle - left Lateral Views W manual stress,XR Ankle-L Views Lat W man stress,XR,Lower extremity; True; Left,32,Ankle-L; Document; EXT; Extr-L; Films
37475-1,XR Ankle - left Mortise W manual stress,XR Ankle-L Mortise W man stress,XR,Lower extremity; True; Left,33,1V; Ankle-L; Document; EXT; Extr-L
37476-9,XR Knee PA 45 degree flexion,XR Knee PA 45 deg flex,XR,Lower extremity; Unspecified; True,27,1V; Document; EXT; Film; Finding
37477-7,XR Knee PA 45 degree flexion W standing,XR Knee PA 45 deg flex W Stand,XR,Lower extremity; Unspecified; True,30,1V; Document; EXT; Film; Finding
37481-9,XR Cervical and thoracic spine Views,XR C+T-spine Views,XR,Neck; Chest,25,C/sp; C+T-spine; Cerv; C-spine; CXR
37482-7,XR Wrist - bilateral 2 Views,XR Wrist-Bl 2V,XR,Upper extremity; True; Bilateral,32,2V; 2VW; Arm; Bil; Bilat
37483-5,XR Wrist - left 2 Views,XR Wrist-L 2V,XR,Upper extremity; True; Left,31,2V; 2VW; Arm; Carpal bone; Carpal bones
37484-3,XR Knee - left Views AP W manual stress,XR Knee-L Views AP W man stress,XR,Lower extremity; True; Left,37,Anterio-Posterior; Anteroposterior; Document; EXT; Extr-L
37485-0,XR Humerus AP and Transthoracic,XR Humerus AP+Transthoracic,XR,Upper extremity; Unspecified; True,26,Anterio-Posterior; Anteroposterior; AP+Transthoracic; Arm; Document
37486-8,XR Ankle Broden Views W manual stress,XR Ankle Views Broden W man stress,XR,Lower extremity; Unspecified; True,25,Document; EXT; Films; Finding; Findings
37487-6,RFA Lower extremity arteries Views W contrast IA,RFA LE aa Views W contr IA,RF,Lower extremity; Unspecified; True,27,Arteriogram; c; Contr; Contra; Contrst
37488-4,RFA Upper extremity arteries - left Views W contrast IA,RFA UE aa-L Views W contr IA,RF,Upper extremity; True; Left,32,Arm; Arteriogram; c; Contr; Contra
37489-2,RFA Tibioperoneal arteries Views W contrast IA,RFA Tibioper aa Views W contr IA,RF,Lower extremity; Unspecified; True,27,Arteriogram; c; Contr; Contra; Contrst
37490-0,RFA Vertebral artery - left Views W contrast IA,RFA VA-L Views W contr IA,RF,True; Left; Head; Neck,35,Art; Arteriogram; Brain; c; Cardio
37491-8,CT Guidance for fluid aspiration of Pleural space,CT Guided Pl space PC fluid asp,CT,Chest; Unspecified; True,27,Asp; CAT scan; Computed tomography; Computerized tomography; CT scan
37492-6,CT Guidance for biopsy of Chest Pleura,CT Guided Chest Pleura Bx,CT,Chest; Unspecified; True,20,Bx; CAT scan; Chest Pleura; Chest.pleura; Computed tomography
37493-4,CT Guidance for injection of Cervical spine Intervertebral disc,CT Guided C-spine interv disc Inj,CT,Neck,24,C/sp; CAT scan; Cerv; Computed tomography; Computerized tomography
37494-2,RF Guidance for injection of Tendon,RF Guided Tendon Inj,RF,XXX,21,Document; Finding; Findings; Fluor; Fluoro
37495-9,CT Skull base,CT Skull.base,CT,Head,18,Brain; CAT scan; Computed tomography; Computerized tomography; Cranial
37496-7,CT Cervical spine W contrast intradisc,CT C-spine W contr ID,CT,Neck,26,c; C/sp; CAT scan; Cerv; Computed tomography
37497-5,MRA Spine vessels,MRA Spine ves,MR,XXX,30,Ang; Angio; Angiography; CorePlaybook; Document
37498-3,CTA Head vessels and Neck vessels W contrast IV,CTA Head+Neck Ves W contr IV,CT,Head; Unspecified; True; Neck,38,Ang; Angio; Angiography; Angm; Brain
37500-6,MRA Spine vessels W contrast IV,MRA Spine ves W contr IV,MR,XXX,34,Ang; Angio; Angiography; c; Contr
37501-4,MRA Cervical spine vessels W contrast IV,MRA C-spine ves W contr IV,MR,Neck,32,Ang; Angio; Angiography; c; C/sp
37502-2,MRA Lumbar spine vessels W contrast IV,MRA L-spine ves W contr IV,MR,Abdomen,37,Abd; Abdo; Abdomen+; Abdominal; Ang
37503-0,MRA Thoracic spine vessels W contrast IV,MRA T-spine ves W contr IV,MR,Chest,33,Ang; Angio; Angiography; c; Contr
37505-5,MRA Spine vessels WO and W contrast IV,MRA Spine ves WO+W contr IV,MR,XXX,40,Ang; Angio; Angiography; c; Contr
37506-3,MRA Cervical spine vessels WO and W contrast IV,MRA C-spine ves WO+W contr IV,MR,Neck,36,Ang; Angio; Angiography; c; C/sp
37507-1,MRA Lumbar spine vessels WO and W contrast IV,MRA L-spine ves WO+W contr IV,MR,Abdomen,41,Abd; Abdo; Abdomen+; Abdominal; Ang
37508-9,MRA Thoracic spine vessels WO and W contrast IV,MRA T-spine ves WO+W contr IV,MR,Chest,37,Ang; Angio; Angiography; c; Contr
37509-7,CT Lumbar spine W contrast intradisc,CT L-spine W contr ID,CT,Abdomen,31,Abd; Abdo; Abdomen+; Abdominal; c
37510-5,MRA Spine vessels WO contrast,MRA Spine ves WO contr,MR,XXX,33,Ang; Angio; Angiography; c; Contr
37511-3,MRA Cervical spine vessels WO contrast,MRA C-spine ves WO contr,MR,Neck,31,Ang; Angio; Angiography; c; C/sp
37512-1,MRA Thoracic spine vessels WO contrast,MRA T-spine ves WO contr,MR,Chest,32,Ang; Angio; Angiography; c; Contr
37513-9,XR Tibia - bilateral 10 degree caudal angle,XR Tib-Bl 10 deg cau angle,XR,Lower extremity; True; Bilateral,26,10 deg cau angle; 1V; Bil; Bilat; Both
37514-7,XR Tibia - left 10 degree caudal angle,XR Tib-L 10 deg cau angle,XR,Lower extremity; True; Left,26,10 deg cau angle; 1V; Document; EXT; Extr-L
37515-4,XR Spine lumbosacral junction Lateral spot,XR LSJ Lat spot,XR,Abdomen; Pelvis,28,1V; Abd; Abd+Pelvis; Abdo; Abdominal
37516-2,XR Spine lumbosacral junction Lateral spot W standing,XR LSJ Lat spot W Stand,XR,Abdomen; Pelvis,31,1V; Abd; Abd+Pelvis; Abdo; Abdominal
37517-0,XR Finger fifth - bilateral Views,XR Finger.5th-Bl Views,XR,Upper extremity; True; Bilateral,30,5th; Arm; Bil; Bilat; Both
37518-8,XR Finger fifth - left Views,XR Finger.5th-L Views,XR,Upper extremity; True; Left,30,5th; Arm; Document; EXT; Extr-L
37519-6,XR Finger fourth - bilateral Views,XR Finger.4th-Bl Views,XR,Upper extremity; True; Bilateral,30,4th; Arm; Bil; Bilat; Both
37520-4,XR Finger fourth - left Views,XR Finger.4th-L Views,XR,Upper extremity; True; Left,30,4th; Arm; Document; EXT; Extr-L
37521-2,XR Finger second - bilateral Views,XR Finger.2nd-Bl Views,XR,Upper extremity; True; Bilateral,30,2nd; Arm; Bil; Bilat; Both
37522-0,XR Finger second - left Views,XR Finger.2nd-L Views,XR,Upper extremity; True; Left,30,2nd; Arm; Document; EXT; Extr-L
37523-8,XR Finger third - bilateral Views,XR Finger.3rd-Bl Views,XR,Upper extremity; True; Bilateral,30,3rd; Arm; Bil; Bilat; Both
37524-6,XR Finger third - left Views,XR Finger.3rd-L Views,XR,Upper extremity; True; Left,30,3rd; Arm; Document; EXT; Extr-L
37530-3,XR Toe fifth - left Views,XR Toe 5th-L Views,XR,Lower extremity; True; Left,28,5th; 5th toe; Document; EXT; Extr-L
37531-1,XR Toe fourth - left Views,XR Toe 4th-L Views,XR,Lower extremity; True; Left,28,4th; 4th toe; Document; EXT; Extr-L
37532-9,XR Great toe - bilateral Views,XR Great toe-Bl Views,XR,Lower extremity; True; Bilateral,25,Bil; Bilat; Both; Document; EXT
37533-7,XR Great toe - left Views,XR Great toe-L Views,XR,Lower extremity; True; Left,25,Document; EXT; Extr-L; Films; Finding
37534-5,XR Toe second - left Views,XR Toe 2nd-L Views,XR,Lower extremity; True; Left,28,2nd; 2nd toe; Document; EXT; Extr-L
37535-2,XR Toe third - left Views,XR Toe 3rd-L Views,XR,Lower extremity; True; Left,28,3rd; 3rd toe; Document; EXT; Extr-L
37538-6,XR Shoulder - left Grashey and Axillary and Y,XR Should-L Grashey+Ax+Y,XR,Upper extremity; True; Left,35,Arm; Document; EXT; Extr-L; Films
37539-4,MG Breast Grid Views,MG Brst Views Grid,MG,Breast; Unspecified; True,12,Brst; Document; Films; Finding; Findings
37540-2,XR Knee - bilateral Holmblad Views W standing,XR Knee-Bl Views Holmblad W Stand,XR,Lower extremity; True; Bilateral,34,Bil; Bilat; Both; Document; EXT
37541-0,XR Mastoid - bilateral Law and Mayer and Stenver and Towne,XR Mastoid-Bl Law+Mayer+Stenver+Towne,XR,True; Bilateral; Head,26,Bil; Bilat; Both; Brain; Cranial
37542-8,MG Breast Magnification Views,MG Brst Views Mag,MG,Breast; Unspecified; True,12,Brst; Document; Films; Finding; Findings
37543-6,MG Breast - bilateral Magnification Views,MG Brst-Bl Views Mag,MG,Breast; True; Bilateral,18,Bil; Bilat; Both; Breast-Bl; Breasts
37544-4,XR Wrist - bilateral Oblique Views,XR Wrist-Bl Views Obl,XR,Upper extremity; True; Bilateral,31,Arm; Bil; Bilat; Both; Carpal bone
37545-1,XR Hip - left Oblique crosstable,XR Hip-L Obl Xtable,XR,Lower extremity; True; Left,34,1V; Cross table; Document; EXT; Extr-L
37546-9,XR Temporomandibular joint - bilateral Open and Closed mouth,XR TMJ-Bl Open+Closed Mouth,XR,True; Bilateral; Head,29,Bil; Bilat; Both; Brain; CorePlaybook
37547-7,XR Wrist - bilateral PA and Lateral,XR Wrist-Bl PA+Lat,XR,Upper extremity; True; Bilateral,33,Arm; Bil; Bilat; Both; Carpal bone
37548-5,XR Wrist - left PA and Lateral,XR Wrist-L PA+Lat,XR,Upper extremity; True; Left,32,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
37549-3,XR Wrist - bilateral PA and Lateral and Oblique,XR Wrist-Bl PA+Lat+Obl,XR,Upper extremity; True; Bilateral,35,Arm; Bil; Bilat; Both; Carpal bone
37550-1,XR Wrist - left PA and Lateral and Oblique,XR Wrist-L PA+Lat+Obl,XR,Upper extremity; True; Left,34,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
37551-9,MG Breast Spot Views,MG Brst Views spot,MG,Breast; Unspecified; True,12,Brst; Document; Films; Finding; Findings
37552-7,MG Breast - bilateral Spot Views,MG Brst-Bl Views spot,MG,Breast; True; Bilateral,18,Bil; Bilat; Both; Breast-Bl; Breasts
37553-5,MG Breast - left Spot Views compression,MG Brst-L Views spot Compression,MG,Breast; True; Left,15,Brst; Brst-L; Document; Films; Finding
37554-3,MG Breast - bilateral Magnification and Spot,MG Brst-Bl Mag+Spot,MG,Breast; True; Bilateral,19,Bil; Bilat; Both; Breast-Bl; Breasts
37555-0,XR Wrist - left Ulnar deviation and Radial deviation,XR Wrist-L Ulnar+Radial Deviation,XR,Upper extremity; True; Left,29,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
37556-8,XR Ankle Views W manual stress,XR Ankle Views W man stress,XR,Lower extremity; Unspecified; True,25,Document; EXT; Films; Finding; Findings
37557-6,XR Ankle - bilateral Views W manual stress,XR Ankle-Bl Views W man stress,XR,Lower extremity; True; Bilateral,32,Ankle-Bl; Ankles; Bil; Bilat; Both
37558-4,XR Ankle - left Views W manual stress,XR Ankle-L Views W man stress,XR,Lower extremity; True; Left,31,Ankle-L; Document; EXT; Extr-L; Films
37559-2,XR Foot - left Views W manual stress,XR Foot-L Views W man stress,XR,Lower extremity; True; Left,31,Document; EXT; Extr-L; Films; Finding
37560-0,XR Knee Views W manual stress,XR Knee Views W man stress,XR,Lower extremity; Unspecified; True,26,Document; EXT; Films; Finding; Findings
37561-8,XR Knee - bilateral Views W manual stress,XR Knee-Bl Views W man stress,XR,Lower extremity; True; Bilateral,33,Bil; Bilat; Both; Document; EXT
37562-6,XR Knee - left Views W manual stress,XR Knee-L Views W man stress,XR,Lower extremity; True; Left,32,Document; EXT; Extr-L; Films; Finding
37563-4,XR Thumb - bilateral Views W manual stress,XR Thumb-Bl Views W man stress,XR,Upper extremity; True; Bilateral,26,Arm; Bil; Bilat; Both; Document
37564-2,XR Thumb - left Views W manual stress,XR Thumb-L Views W man stress,XR,Upper extremity; True; Left,26,Arm; Document; EXT; Extr-L; Films
37565-9,RF Unspecified body region Views W barium contrast via fistula,RF Views W Ba via Fistula,RF,,27,Ba; c; Contr; Contra; Contrst
37566-7,RF Unspecified body region Views W contrast via catheter,RF Views W contr via cath,RF,,27,c; Cath; Contr; Contra; Contrst
37567-5,RF Colon Views W contrast via colostomy,RF Colon Views W contr via Colostomy,RF,Abdomen; Pelvis,26,Abd; Abd+Pelvis; Abdo; Abdominal; c
37568-3,RF Unspecified body region Views W contrast via fistula,RF Views W contr via Fistula,RF,,29,c; Contr; Contra; Contrst; CorePlaybook
37569-1,RF Urinary bladder Views W contrast via suprapubic tube,RF Bladder Views W contr via SP tb,RF,Pelvis,22,c; Contr; Contra; Contrst; Cystogram
37570-9,RF Wrist - bilateral Arthrogram,RF Wrist-Bl Views W contr IS,RF,Upper extremity; True; Bilateral,43,Arm; Arthrogram; Arthrography; Bil; Bilat
37571-7,RF Wrist - left Arthrogram,RF Wrist-L Views W contr IS,RF,Upper extremity; True; Left,42,Arm; Arthrogram; Arthrography; c; Carpal bone
37572-5,RF Spine Views W contrast IT,RF Spine Views W contr IT,RF,XXX,30,c; Contr; Contra; Contrst; Document
37574-1,RFA Lower extremity vessels Views W contrast IV,RFA LE ves Views W contr IV,RF,Lower extremity; Unspecified; True,29,c; Contr; Contra; Contrst; Document
37575-8,XR Gallbladder Views W contrast and fatty meal PO,XR GB Views W contr+Fatty Meal PO,XR,Abdomen,33,Abd; Abdo; Abdomen+; Abdominal; After
37576-6,RF Unspecified body region Views W gastrografin via fistula,RF Views W Gastrografin via Fistula,RF,,20,Document; Films; Finding; Findings; Fluor
37577-4,XR Acromioclavicular Joint Views W weight,XR AC joint Views W Wt,XR,Upper extremity; Unspecified; True,27,AC joint; ACJ; Acromio-clavicular; Arm; Document
37578-2,XR Acromioclavicular joint - bilateral Views W weight,XR AC joint-Bl Views W Wt,XR,Upper extremity; True; Bilateral,32,AC joint; AC joint-Bl; AC joints; ACJ; Arm
37579-0,XR Acromioclavicular Joint Views WO and W weight,XR AC joint Views WO+W Wt,XR,Upper extremity; Unspecified; True,30,AC joint; ACJ; Acromio-clavicular; Arm; Document
37580-8,XR Acromioclavicular joint - bilateral Views WO and W weight,XR AC joint-Bl Views WO+W Wt,XR,Upper extremity; True; Bilateral,35,AC joint; AC joint-Bl; AC joints; ACJ; Arm
37581-6,XR Acromioclavicular joint - left Views WO and W weight,XR AC joint-L Views WO+W Wt,XR,Upper extremity; True; Left,34,AC joint; AC joint-L; ACJ; Arm; Document
37582-4,XR Acromioclavicular Joint Views WO weight,XR AC joint Views WO Wt,XR,Upper extremity; Unspecified; True,26,AC joint; ACJ; Acromio-clavicular; Arm; Document
37583-2,XR Pelvis and Hip - bilateral Views and Lateral frog,XR Pelvis and Hip-Bl Views+Lat Frog,XR,Pelvis; Lower extremity; True; Bilateral,40,Bil; Bilat; Both; Document; EXT
37584-0,XR Great toe - left Views W standing,XR Great toe-L Views W Stand,XR,Lower extremity; True; Left,28,Document; EXT; Extr-L; Films; Finding
37585-7,RF Jejunum Views W contrast,RF Jejunum Views W contr,RF,Abdomen,23,Abd; Abdo; Abdomen+; Abdominal; c
37586-5,RF Penis Views W contrast intra corpus cavernosum,RF Penis Views W contr intra CC,RF,Pelvis,29,c; Cavernosogram; Cavernosography; Contr; Contra
37587-3,RFA Aortic arch and Carotid artery - bilateral and Vertebral artery - bilateral Views W contrast IA,RFA Ao arch+Carot+Vert a-Bl Vs W contr IA,RF,Chest; True; Bilateral; Head; Neck,44,Ac arch; AO; Ao arch; Ao arch+Carotid a; Ao arch+Carotid+Vert a-Bl
37588-1,RFA Common carotid artery - bilateral Views W contrast IA,RFA Ao arch+Com carot a-Bl Vs W contr IA,RF,True; Bilateral; Neck,31,Art; Arteriogram; Bil; Bilat; Both
37589-9,RFA Common carotid artery - left Views W contrast IA,RFA Ao arch+Com carot a-L Vs W contr IA,RF,True; Left; Neck,30,Art; Arteriogram; c; Cardio; Cardiology
37590-7,RFA Common carotid artery - right Views W contrast IA,RFA Ao arch+Com carot a-R Vs W contr IA,RF,True; Right; Neck,30,Art; Arteriogram; c; Cardio; Cardiology
37591-5,RFA Aortic arch and External carotid artery - bilateral Views W contrast IA,RFA Ao arch+Ext carot a-Bl Vs W contr IA,RF,Chest; True; Bilateral; Head; Neck,45,Ac arch; AO; Ao arch; Ao arch+Carotid a; Ao arch+Ext carotid a-Bl
37592-3,RFA Aortic arch and External carotid artery - left Views W contrast IA,RFA Ao arch+Ext carot a-L Vs W contr IA,RF,Chest; True; Left; Head; Neck,43,Ac arch; AO; Ao arch; Ao arch+Carotid a; Ao arch+Ext carotid a-L
37593-1,RFA Aortic arch and External carotid artery - right Views W contrast IA,RFA Ao arch+Ext carot a-R Vs W contr IA,RF,Chest; True; Right; Head; Neck,43,Ac arch; AO; Ao arch; Ao arch+Carotid a; Ao arch+Ext carotid a-R
37594-9,RFA Carotid artery and Vertebral artery Views W contrast IA,RFA Ao arch+Carot a+Vert a Vs W contr IA,RF,Unspecified; True; Head; Neck,34,Art; Arteriogram; Brain; c; Cardio
37595-6,RFA Coronary arteries Views for graft W contrast IA,RFA CA Views for graft W contr IA,RF,Chest,26,Arteriogram; c; CA; Contr; Contra
37596-4,RFA Abdominal and pelvic lymphatic vessels - left Views W contrast intra lymphatic,RFA Abd+Pelvic lymph ves-L Vs W contr IL,RF,True; Abdomen; Left; Pelvis,36,Abd; Abd lymph ves; Abd+Pelvic lymph ves-L; Abdo; Abdomen
37597-2,RFA Abdominal and pelvic lymphatic vessels Views W contrast intra lymphatic,RFA Abd+Pelvic lymph ves Vs W contr IL,RF,Abdomen; Pelvis,33,Abd; Abd lymph ves; Abd+Pelvic lymph ves; Abdo; Abdomen
37598-0,RFA Abdominal and pelvic lymphatic vessels - bilateral Views W contrast intra lymphatic,RFA Abd+Pelv lymph ves-Bl Vs W contr IL,RF,True; Abdomen; Bilateral; Pelvis,38,Abd; Abd lymph ves; Abd lymph ves-Bl; Abd+Pelvic lymph ves-Bl; Abdo
37599-8,RFA Extremity lymphatic vessels - left Views W contrast intra lymphatic,RFA Extremity lymph ves-L Vs W contr IL,RF,Extremity; True; Left,29,c; Contr; Contra; Contrst; Document
37600-4,RFA Lymphatic vessels - left Views W contrast intra lymphatic,RFA Lymph ves-L Views W contr IL,RF,True; Left; XXX,35,c; Contr; Contra; Contrst; Document
37601-2,RFA Pelvic lymphatic vessels - bilateral Views W contrast intra lymphatic,RFA Pelvic lymph ves-Bl Views W contr IL,RF,Pelvis; True; Bilateral,30,Bil; Bilat; Both; c; Contr
37602-0,RFA Adrenal vein - left Views W contrast IV,RFA Adrenal v-L Views W contr IV,RF,True; Abdomen; Left,36,Abd; Abdo; Abdomen+; Abdominal; Adrenal v-L
37604-6,XR Nasal bones 3 Views,XR Nasal bones 3V,XR,Head,23,3V; 3VW; Brain; Cranial; Cranium
37605-3,XR Nasal bones Lateral and Waters,XR Nasal bones Lat+Waters,XR,Head,23,Brain; Cranial; Cranium; Document; Films
37606-1,XR tomography Nasal bones,XR tomo Nasal bones,XR,Head,18,Brain; Cranial; Cranium; Document; Finding
37607-9,XR Kidney Views W contrast IV,XR Kidney Views W contr IV,XR,Unspecified; True; Abdomen,35,Abd; Abdo; Abdomen+; Abdominal; c
37608-7,US Guidance for localization of foreign body of Eye,US Guided Eye FB loc,US,Unspecified; True; Head,39,bod; Bodies; Brain; Cranial; Cranium
37609-5,XR Optic foramen 4 Views,XR Optic foramen 4V,XR,Unspecified; True; Head,21,4V; 4VW; Brain; Cranial; Cranium
37611-1,XR tomography Orbit - bilateral,XR tomo Orbit-Bl,XR,True; Bilateral; Head,24,Bil; Bilat; Both; Brain; Cranial
37612-9,XR Orbit - bilateral 4 Views,XR Orbit-Bl 4V,XR,True; Bilateral; Head,28,4V; 4VW; Bil; Bilat; Both
37613-7,XR Orbit - bilateral Waters,XR Orbit-Bl Waters,XR,True; Bilateral; Head,28,1V; Bil; Bilat; Both; Brain
37614-5,XR Patella Single view,XR Patella 1V,XR,Lower extremity; Unspecified; True,20,1V; Document; EXT; Film; Finding
37615-2,RFA Pelvis vessels Views W contrast,RFA Pelvis ves Views W contr,RF,Pelvis,23,c; Contr; Contra; Contrst; Document
37616-0,XR Pelvis Single view,XR Pelvis 1V,XR,Pelvis,18,1V; CorePlaybook; Document; Film; Finding
37617-8,XR Pelvis 2 Views,XR Pelvis 2V,XR,Pelvis,18,2V; 2VW; Document; Films; Finding
37618-6,XR Pelvis AP and Inlet,XR Pelvis AP+Inlet,XR,Pelvis,21,Anterio-Posterior; Anteroposterior; AP+Inlet; Document; Films
37619-4,XR Pelvis AP and Judet,XR Pelvis AP+Judet,XR,Pelvis,21,Anterio-Posterior; Anteroposterior; AP+Judet; Document; Films
37620-2,XR Pelvis AP and Lateral,XR Pelvis AP+Lat,XR,Pelvis,23,Anterio-Posterior; Anteroposterior; AP+Lat; Document; Films
37621-0,XR Pelvis AP and Oblique,XR Pelvis AP+Obl,XR,Pelvis,22,Anterio-Posterior; Anteroposterior; AP+Obl; Document; Films
37622-8,XR Pelvis AP,XR Pelvis AP,XR,Pelvis,20,1V; Anterio-Posterior; Anteroposterior; CorePlaybook; Document
37623-6,XR Pelvis AP and Inlet and Outlet,XR Pelvis AP+Inlet+Outlet,XR,Pelvis,24,Anterio-Posterior; Anteroposterior; AP+Inlet; AP+Inlet+Outlet; Document
37624-4,XR Pelvis AP and Lateral and oblique,XR Pelvis AP+Lat+Obl,XR,Pelvis,25,Anterio-Posterior; Anteroposterior; AP+Lat; AP+Lat+Obl; Document
37625-1,XR Pelvis Ferguson,XR Pelvis Ferguson,XR,Pelvis,16,1V; Document; Film; Finding; Findings
37626-9,XR Pelvis Lateral frog,XR Pelvis Lat frog,XR,Pelvis,20,1V; Document; Film; Finding; Findings
37627-7,XR Pelvis Inlet and Outlet and Oblique,XR Pelvis Inlet+Outlet+Obl,XR,Pelvis,21,Document; Films; Finding; Findings; Imaging
37628-5,XR Pelvis Inlet,XR Pelvis Inlet,XR,Pelvis,16,1V; Document; Film; Finding; Findings
37629-3,XR Pelvis Lateral,XR Pelvis Lat,XR,Pelvis,17,1V; Document; Film; Finding; Findings
37630-1,XR Pelvis Oblique Views,XR Pelvis Views Obl,XR,Pelvis,17,Document; Films; Finding; Findings; Imaging
37631-9,XR Pelvis Outlet,XR Pelvis Outlet,XR,Pelvis,17,1V; Document; Film; Finding; Findings
37632-7,XR tomography Pelvis,XR tomo Pelvis,XR,Pelvis,13,Document; Finding; Findings; Imaging; Pelvic
37633-5,XR Pelvis Single view W standing,XR Pelvis 1V W Stand,XR,Pelvis,19,1V; Document; Film; Finding; Findings
37634-3,XR Pelvis AP 20 degree cephalic angle,XR Pelvis AP 20 deg ceph angle,XR,Pelvis,19,1V; Anterio-Posterior; Anteroposterior; AP 20 deg ceph angle; Document
37635-0,XR Acetabulum 3 Views,XR Acetabulum 3V,XR,Lower extremity; Unspecified; True,21,3V; 3VW; Document; EXT; Films
37636-8,XR Abdomen Views,XR Abd Views,XR,Abdomen,18,Abd; Abdo; Abdomen+; Abdominal; Document
37637-6,XR Extremity Views,XR Extr Views,XR,Extremity; Unspecified; True,15,Document; EXT; Films; Finding; Findings
37639-2,XR Neck Views,XR Neck Views,XR,Neck,16,CorePlaybook; Document; Films; Finding; Findings
37640-0,RFA Renal vessels Views W contrast,RFA Renal ves Views W contr,RF,Unspecified; True; Abdomen,30,Abd; Abdo; Abdomen+; Abdominal; c
37641-8,RF Wrist - right Arthrogram,RF Wrist-R Views W contr IS,RF,Upper extremity; True; Right,42,Arm; Arthrogram; Arthrography; c; Carpal bone
37642-6,XR Wrist - right Limited Views,XR Wrist-R Views Ltd,XR,Upper extremity; True; Right,31,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
37643-4,XR Wrist - right Oblique Views,XR Wrist-R Views Obl,XR,Upper extremity; True; Right,30,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
37644-2,XR tomography Wrist - right,XR tomo Wrist-R,XR,Upper extremity; True; Right,26,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
37645-9,XR Wrist - right Ulnar deviation,XR Wrist-R Ulnar deviation,XR,Upper extremity; True; Right,29,1V; Arm; Carpal bone; Carpal bones; Carpal bones and joint
37646-7,XR Sacroiliac Joint Limited Views,XR SIJ Views Ltd,XR,Pelvis; Unspecified; True,23,Document; Films; Finding; Findings; Imaging
37647-5,RF Sacroiliac Joint Arthrogram,RF SIJ Views W contr IS,RF,Pelvis; Unspecified; True,34,Arthrogram; Arthrography; c; Contr; Contra
37648-3,XR Sacroiliac Joint 3 Views,XR SIJ 3V,XR,Pelvis; Unspecified; True,23,3V; 3VW; Document; Films; Finding
37649-1,XR Sacroiliac Joint AP and Oblique,XR SIJ AP+Obl,XR,Pelvis; Unspecified; True,27,Anterio-Posterior; Anteroposterior; AP+Obl; Document; Films
37650-9,XR Sacroiliac Joint Ferguson,XR SIJ Ferguson,XR,Pelvis; Unspecified; True,21,1V; Document; Film; Finding; Findings
37651-7,XR Sacrum 2 Views,XR Sacrum 2V,XR,Pelvis,18,2V; 2VW; Document; Films; Finding
37652-5,XR Sacrum AP and Lateral,XR Sacrum AP+Lat,XR,Pelvis,23,Anterio-Posterior; Anteroposterior; AP+Lat; Document; Films
37653-3,XR tomography Sacrum,XR tomo Sacrum,XR,Pelvis,13,Document; Finding; Findings; Imaging; Pelvic
37654-1,XR Scapula Single view,XR Scapula 1V,XR,Chest; Unspecified; True,18,1V; CXR; Document; Film; Finding
37655-8,XR Scapula 2 Views,XR Scapula 2V,XR,Chest; Unspecified; True,20,2V; 2VW; CXR; Document; Films
37656-6,XR Scapula Y,XR Scapula Y,XR,Chest; Unspecified; True,19,1V; CXR; Document; Film; Finding
37658-2,XR Thoracic and lumbar spine 2 Views for scoliosis,XR T+L-Spine 2V for scoli,XR,Chest; Abdomen,35,2V; 2V for scoli; 2VW; Abd; Abdo
